Campaña,Nro. Ope.,Versión Nro. Ope.,OC,Importador/SOC,Área Usuaria,POL,Proveedor Principal,Producto,FACTURA,BL / AWB,AGENCIA DE ADUANA,ACREEDOR,Fecha de Emisión Doc,Nro Liquid.,Nro. de Doc.,Tipo de Doc.,Proveedor,Concepto,Moneda,Provisión,Monto Final,Igv,Importe Total,Fecha de Envío Provisión,Fecha de Envío Liquidación,Atención,Monto Total USD,Count OC,Count N° Import,Agrupador,Clasificación,Market,Country,Familia de Producto,Gerencia,Comprador,OC2,
2019,19-061HFP-184,1,4700001432,HORTIFRUT-PERU S.A.C.,Operaciones Agrícolas,VALENCIA,"AGROQUÍMICA CODIAGRO, S.L.",FITOKONTROL,955,410040,AVM ADUANERA S.A.C.,AVM ADUANERA S.A.C.,,-,F002-1940,FE,AVM ADUANERA S.A.C.,Agenciamiento de Aduana,USD,136.00,136.00,24.48,160.48,,03/12/2019,LOTINIANO, 136.00 ,1,#¡REF!,Base,AGENCIAMIENTO,EUROPE,SPAIN,AGROQUIMICOS,#N/D,#N/D,4700001432,
2019,19-061HFP-184,1,4700001432,HORTIFRUT-PERU S.A.C.,Operaciones Agrícolas,VALENCIA,"AGROQUÍMICA CODIAGRO, S.L.",FITOKONTROL,955,410040,AVM ADUANERA S.A.C.,AVM ADUANERA S.A.C.,,-,F002-1941,FE,AVM ADUANERA S.A.C.,Transporte Callao - Lima,USD,62.00,62.00,11.16,73.16,,03/12/2019,LOTINIANO, 62.00 ,0,0,Base,FLETE NACIONAL,EUROPE,SPAIN,AGROQUIMICOS,#N/D,#N/D,4700001432,
2019,19-061HFP-184,1,4700001432,HORTIFRUT-PERU S.A.C.,Operaciones Agrícolas,VALENCIA,"AGROQUÍMICA CODIAGRO, S.L.",FITOKONTROL,955,410040,AVM ADUANERA S.A.C.,AVM ADUANERA S.A.C.,,008/0014451,FF01-00043397,FE,NOATUM LOGISTICS PERU INC SRL,Handling,USD,160.00,160.00,28.80,188.80,,03/12/2019,LOTINIANO, 160.00 ,0,0,Base,FLETE INTERNACIONAL,EUROPE,SPAIN,AGROQUIMICOS,#N/D,#N/D,4700001432,
2019,19-061HFP-184,1,4700001432,HORTIFRUT-PERU S.A.C.,Operaciones Agrícolas,VALENCIA,"AGROQUÍMICA CODIAGRO, S.L.",FITOKONTROL,955,410040,AVM ADUANERA S.A.C.,AVM ADUANERA S.A.C.,,008/0014451,F040-00265158,FE,TRABAJOS MARITIMOS S.A.,Descarga,USD,150.00,150.00,27.00,177.00,,03/12/2019,LOTINIANO, 150.00 ,0,0,Base,DEPOSITO TEMPORAL,EUROPE,SPAIN,AGROQUIMICOS,#N/D,#N/D,4700001432,
2019,19-061HFP-184,1,4700001432,HORTIFRUT-PERU S.A.C.,Operaciones Agrícolas,VALENCIA,"AGROQUÍMICA CODIAGRO, S.L.",FITOKONTROL,955,410040,AVM ADUANERA S.A.C.,AVM ADUANERA S.A.C.,,008/0014451,FF01-00043977,FE,NOATUM LOGISTICS PERU INC SRL,Visto Bueno,USD,115.00,115.00,20.70,135.70,,03/12/2019,LOTINIANO, 115.00 ,0,0,Base,PORTUARIOS,EUROPE,SPAIN,AGROQUIMICOS,#N/D,#N/D,4700001432,
2019,19-061HFP-184,1,4700001432,HORTIFRUT-PERU S.A.C.,Operaciones Agrícolas,VALENCIA,"AGROQUÍMICA CODIAGRO, S.L.",FITOKONTROL,955,410040,AVM ADUANERA S.A.C.,AVM ADUANERA S.A.C.,,008/0014451,F002-00016332,FE,INVERSIONES MARITIMAS UNIVERSALES PERU S.A.,Descarga,USD,239.60,239.60,43.13,282.73,,03/12/2019,LOTINIANO, 239.60 ,0,0,Base,DEPOSITO TEMPORAL,EUROPE,SPAIN,AGROQUIMICOS,#N/D,#N/D,4700001432,
2019,19-061HFP-184,1,4700001432,HORTIFRUT-PERU S.A.C.,Operaciones Agrícolas,VALENCIA,"AGROQUÍMICA CODIAGRO, S.L.",FITOKONTROL,955,410040,AVM ADUANERA S.A.C.,AVM ADUANERA S.A.C.,,008/0014446,118-2019-10-500944,DAM,SUNAT,Derechos,PEN,5835.00,5835.00,0.00,5835.00,,03/12/2019,LOTINIANO," 1,577.03 ",0,0,Base,DERECHOS DE ADUANA,EUROPE,SPAIN,AGROQUIMICOS,#N/D,#N/D,4700001432,
2019,19-065HFP-192,1,4700001185,HORTIFRUT-PERU S.A.C.,Planta,SAN ANTONIO,KD PACK S.A.,Bandeja expo granel,125,S00112215,BOXPOOL AGENCIA DE ADUANAS S.A.C.,BOXPOOL AGENCIA DE ADUANAS S.A.C.,,-,F038-27397,FE,APM TERMINALS INLAND SERVICES S.A.,Descarga,USD,1172.00,1172.00,210.96,1382.96,,03/12/2019,LOTINIANO," 1,172.00 ",1,1,Base,DEPOSITO TEMPORAL,LATAM,CHILE,#N/D,Operaciones Industriales,Rene Ramirez,4700001185,
2019,19-065HFP-192,1,4700001185,HORTIFRUT-PERU S.A.C.,Planta,SAN ANTONIO,KD PACK S.A.,Bandeja expo granel,125,S00112215,BOXPOOL AGENCIA DE ADUANAS S.A.C.,BOXPOOL AGENCIA DE ADUANAS S.A.C.,,001-0021803,F001-9484,FE,ANDES LOGISTICS DEL PERU S.A.C. ,Handling,USD,156.19,156.19,28.11,184.30,,03/12/2019,LOTINIANO, 156.19 ,0,0,Base,FLETE INTERNACIONAL,LATAM,CHILE,#N/D,Operaciones Industriales,Rene Ramirez,4700001185,
2019,19-065HFP-192,1,4700001185,HORTIFRUT-PERU S.A.C.,Planta,SAN ANTONIO,KD PACK S.A.,Bandeja expo granel,125,S00112215,BOXPOOL AGENCIA DE ADUANAS S.A.C.,BOXPOOL AGENCIA DE ADUANAS S.A.C.,,001-0021803,F001-9492,FE,ANDES LOGISTICS DEL PERU S.A.C. ,THCD,USD,12.00,12.00,0.00,12.00,,03/12/2019,LOTINIANO, 12.00 ,0,0,Base,FLETE INTERNACIONAL,LATAM,CHILE,#N/D,Operaciones Industriales,Rene Ramirez,4700001185,
