,ESTADO,REF,Importador,OC,BUYER,Proveedor,TIPO PROD,PRODUCTO,FT,CANT,UN,USD,EUR,Valor Final USD,Forma de Pago ,INCOTERM,MODE,TYPE,POD,POL,CTNR TYPE,CTNR QTY,PQ,AGENTE DE CARGA,NAVIERA / AEROLINEA,B/L- AWB,NAVE,ETD,ETA,WEEK,SEGURO HPER,ASEGURADORA,POLIZA PROFORMA  NRO,Días Libres Sobrestadía,Dias libres Almacenaje,DIRECCIONAMIENTO,DEPOT,AG. ADUANA,Orden,Solicitud Proforma,Solicitud Pago,Pago Proforma,Fecha Numeración,DAM,Canal,Fecha Levante,Fecha de Retiro y Entrega Agersa,Lugar Entrega,Transporte,Fecha Entrega Trux,Envío de Provisión,Fecha Liquidación,Fecha Envío Archivo,Observaciones,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-082-HPER,HORTIFRUT-PERU SAC,4700001807,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,ROCIO - REPOSICION,9658,"77,995",UN,"$221,505.80",€ 0.00,"$221,505.80",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,6,DIRECTO,KOREAN AIR,180-49571292,-,24/8/2020,24/8/2020,35,SI,,223038885,-,-,-,TALMA,AVM,696,31-jul,30-jul,24-ago,25-ago,235-2020-10-110635,Rojo,26-ago,27-ago,CHAO,AVM,27-ago,,1-sept,28-mar,LIQUIDACION PARCIAL 01/SET. LIQUIDACION CPB 278 SOLES 22/DIC,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-082-HPER,HORTIFRUT-PERU SAC,4700001808,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,ROCIO,9659,"22,005",UN,"$62,934.30",€ 0.00,"$62,934.30",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,6,DIRECTO,KOREAN AIR,180-49571292,-,24/8/2020,24/8/2020,35,SI,,223038885,-,-,-,TALMA,AVM,696,31-jul,30-jul,24-ago,25-ago,235-2020-10-110635,Rojo,26-ago,27-ago,CHAO,AVM,27-ago,,1-sept,28-mar,LIQUIDACION PARCIAL 01/SET. LIQUIDACION CPB 278 SOLES 22/DIC,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-082-HPER,HORTIFRUT-PERU SAC,4700001808,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,KESTREL,9659,"55,000",UN,"$118,800.00",€ 0.00,"$118,800.00",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,6,DIRECTO,KOREAN AIR,180-49571292,-,24/8/2020,24/8/2020,35,SI,,223038885,-,-,-,TALMA,AVM,696,31-jul,30-jul,24-ago,25-ago,235-2020-10-110635,Rojo,26-ago,27-ago,CHAO,AVM,27-ago,,1-sept,28-mar,LIQUIDACION PARCIAL 01/SET. LIQUIDACION CPB 278 SOLES 22/DIC,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-089-HPER,HORTIFRUT-PERU SAC,4700001816,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,ROCIO,9682,"91,471",UN,"$259,777.64",€ 0.00,"$259,777.64",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,3,DIRECTO,KOREAN AIR,180-49608425,-,31/8/2020,31/8/2020,36,SI,,223056357,-,-,-,TALMA,AVM,705,28-ago,30-jul,3-ago,,,Rojo,,6-sept,CHAO,AVM,7-sept,,17-sept,28-mar,"LIQUIDACION PARCIAL 17/SET, CPB 30/SET. ",,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-098-HPER,HORTIFRUT-PERU SAC,4700001828,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,KESTREL,9723,"93,600",UN,"$202,176.00",€ 0.00,"$202,176.00",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,3,DIRECTO,KOREAN AIR,180-49949200,-,28/9/2020,28/9/2020,40,SI,,223126618,-,-,-,TALMA,AVM,833,18-sept,,,,,,,1-oct,,AVM,2-oct,5-oct,30-oct,28-mar,LIQUIDACION PARCIAL 30/OCT,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-099-HPER,HORTIFRUT-PERU SAC,4700001829,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,KESTREL,9755,"60,000",UN,"$129,600.00",€ 0.00,"$129,600.00",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,2,DIRECTO,KOREAN AIR,180-49949970,-,5/10/2020,5/10/2020,41,SI,,223379032,-,-,-,TALMA,AVM,871,2-oct,,5-oct,,,Rojo,,8-oct,CHAO,AVM,9-oct,9-oct,30-oct,28-mar,LIQUIDACION PARCIAL 30/OCT.  CPB 278 SOLES 22/DIC,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-101-HPER,HORTIFRUT-PERU SAC,4700001787,JOSE RIVERA,COMERCIAL PROJAR SA,SUSTRATOS,TURBA BLEND 040,FRCLP-20-00491,132,BOLSAS,$0.00,"€ 23,232.00","$23,232.00",30 días,CIF,SEA,FCL/FCL,RIGA,CALLAO,40HC,6,132,DIRECTO,MSC,MEDUNC432733,MSC SHUBA B,5/9/2020,8/10/2020,41,NO,,-,21,30,2-oct,TPP,AVM,859,29-sept,,5-oct,,,,,26-oct,,AGERSA,,,30-oct,28-mar,LIQUIDACION PARCIAL 30/OCT. CPB 798 SOLES 22/DIC,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-102-HPER,HORTIFRUT-PERU SAC,4700001787,JOSE RIVERA,COMERCIAL PROJAR SA,SUSTRATOS,TURBA BLEND 040,FRCLP-20-00498,132,BOLSAS,$0.00,"€ 23,232.00","$23,232.00",30 días,CIF,SEA,FCL/FCL,RIGA,CALLAO,40HC,6,132,DIRECTO,MSC,MEDUNC435652,MSC SHUBA B,5/9/2020,8/10/2020,41,NO,,-,21,30,2-oct,TPP,AVM,861,29-sept,,5-oct,,,,,28-oct,,AGERSA,,,30-oct,28-mar,LIQUIDACION PARCIAL 30/OCT.  CPB 920 SOLES 22/dic,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-109-HPER,HORTIFRUT-PERU SAC,4700001839,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,KESTREL,9781,"50,000",UN,"$108,000.00",€ 0.00,"$108,000.00",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,2,DIRECTO,KOREAN AIR,180-49950913,-,12/10/2020,12/10/2020,42,SI,POSITIVA,223400594,-,-,-,TALMA,AVM,883,,,,,,,,15-oct,,AVM,,,30-oct,28-mar,"LIQUIDACION PARCIAL 30/OCT, CPB 278 SOLES 04/01/21",,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-110-HPER,HORTIFRUT-PERU SAC,4700001845,OMAR QUISPE,HORTIFRUT CHILE S.A.,PLANTAS,KESTREL,9813,"60,000",UN,"$130,800.00",€ 0.00,"$130,800.00",60 días,CPT,AIR,AIR,SANTIAGO,LIMA,-,-,2,DIRECTO,KOREAN AIR,180-49951156,-,19/10/2020,19/10/2020,43,SI,POSITIVA,223413919,-,-,,TALMA,AVM,920,,,,,,Rojo,,21-oct,,AVM,,,30-oct,28-mar,"LIQUIDACION PARCIAL 30/OCT, CPB 278 SOLES 19/MAR",,,,,,,,,,,,,,,,,,
