CAMPAÑA;STATUS;OP;OC;BUYER;SUPPLIER;CATEGORY;PRODUCTO;PROYECT;FACT;QTY;UM;CUR;AMOUNT;PAYMENT TERM;INCOTERM;MODE;TYPE;POL;POD;QTY CTNR;TYPE CTNR;BULKS;CARGO READY;ASSIGMENT DATE;FFW;NAVIERA / AEROLINEA;BOOKING;CNTR NR;PICK UP DATE;STACKING;ETD 1;ETD 2;ATD;WEEK ATD;B/L- AWB;NAVE;ETA 1;ETA 2;ATA;WEEK ATA;INSURANCE HPER;INSURANCE POLICY;INSURANCE POLICY DATE;DEPOT;AG. ADUANA;Orden;FECHA IE;FECHA NUM DAM;DAM;CANAL;FECHA DESCARGA;FECHA TARJA;FECHA LEVANTE;FECHA INSPECCION SENASA;FECHA LIBERACION SENASA;FECHA VCTO SOBRESTADIA;TRANSP LIMA (T1);FECHA RETIRO (T1);GR T1 ;TRANSP TRUX (T2);FECHA ENTREGA BASE T2 (T1);FECHA GATE IN (T1);PUNTO DE LLEGADA;FECHA INICIO DE VIAJE  (T2);FECHA FIN DE VIAJE (T2);WEEK TRUX ;GR T2 ;GR HORTIFRUT;FECHA ENVIO ARCHIV;NRO CAJA ARCHIVO;COURIER PARA ENVÍO DE DOCS;NRO DE TRACKING DOCS ;OBSERVACIONES HORTIFRUT;CARGO PRODUCE OBSERVACIONES
2021-2022;LIQUIDADA;21-001-HTAL;4700001898;OMAR;ALFARROXO TRADING LTDA;SUSTRATOS;CORTEZA DE PINO 1530;DIVINE;2059;1,449;BOLSAS;EUR;4,129.65;60;FOB;SEA;FCL/FCL;LEIXOES;CALLAO;1;40HC;23;11/11/2020;;CH ROBINSON;CMA CGM;;TCNU580046/5;NA;12/11/2020;15/11/2020;15/11/2020;14/11/2020;46;CHSL2201678;CMA CGM NIAGARA;25/12/2020;25/12/2020;1/01/2021;53;SI;223530032;;IMUPESA;AVM;1076;3/12/2020;29/12/2020;118-2020-10-452255-01-1-00;Verde;2/01/2021;3/01/2021;1/01/2021;7/01/2021;8/01/2021;;SLI;13/01/2021;001-005694;RVC;14/01/2021;15/01/2021;CHAO;14/01/2021;15/01/2021;2;PEND;PEND;28/03/2022;2021-1;;-;;
2021-2022;LIQUIDADA;21-001-HTAL;4700001898;OMAR;ALFARROXO TRADING LTDA;SUSTRATOS;CORTEZA DE PINO 1530;DIVINE;2059;1,449;BOLSAS;EUR;4,129.65;60;FOB;SEA;FCL/FCL;LEIXOES;CALLAO;1;40HC;23;11/11/2020;;CH ROBINSON;CMA CGM;;CMAU622147/2;NA;12/11/2020;15/11/2020;15/11/2020;14/11/2020;46;CHSL2201678;CMA CGM NIAGARA;25/12/2020;25/12/2020;1/01/2021;53;SI;223530032;;IMUPESA;AVM;1076;3/12/2020;29/12/2020;118-2020-10-452255-01-1-00;Verde;2/01/2021;3/01/2021;1/01/2021;7/01/2021;8/01/2021;;SLI;13/01/2021;001-005695;RVC;14/01/2021;15/01/2021;CHAO;15/01/2021;16/01/2021;2;PEND;PEND;28/03/2022;2021-1;;-;;
2021-2022;LIQUIDADA;21-001-HTAL;4700001898;OMAR;ALFARROXO TRADING LTDA;SUSTRATOS;CORTEZA DE PINO 1530;DIVINE;2059;1,449;BOLSAS;EUR;4,129.65;60;FOB;SEA;FCL/FCL;LEIXOES;CALLAO;1;40HC;23;11/11/2020;;CH ROBINSON;CMA CGM;;CMAU768133/8;NA;12/11/2020;15/11/2020;15/11/2020;14/11/2020;46;CHSL2201678;CMA CGM NIAGARA;25/12/2020;25/12/2020;1/01/2021;53;SI;223530032;;IMUPESA;AVM;1076;3/12/2020;29/12/2020;118-2020-10-452255-01-1-00;Verde;2/01/2021;3/01/2021;1/01/2021;7/01/2021;8/01/2021;;SLI;13/01/2021;001-005696;RVC;15/01/2021;15/01/2021;CHAO;15/01/2021;16/01/2021;2;PEND;PEND;28/03/2022;2021-1;;-;;
2021-2022;LIQUIDADA;21-001-HTAL;4700001898;OMAR;ALFARROXO TRADING LTDA;SUSTRATOS;CORTEZA DE PINO 1530;DIVINE;2059;1,449;BOLSAS;EUR;4,129.65;60;FOB;SEA;FCL/FCL;LEIXOES;CALLAO;1;40HC;23;11/11/2020;;CH ROBINSON;CMA CGM;;BMOU483537/6;NA;12/11/2020;15/11/2020;15/11/2020;14/11/2020;46;CHSL2201678;CMA CGM NIAGARA;25/12/2020;25/12/2020;1/01/2021;53;SI;223530032;;IMUPESA;AVM;1076;3/12/2020;29/12/2020;118-2020-10-452255-01-1-00;Verde;2/01/2021;3/01/2021;1/01/2021;7/01/2021;8/01/2021;;AVM;13/01/2021;PEND;AGERSA;14/01/2021;15/01/2021;CHAO;18/01/2021;19/01/2021;3;PEND;PEND;28/03/2022;2021-1;;-;;
2021-2022;LIQUIDADA;21-001-HTAL;4700001898;OMAR;ALFARROXO TRADING LTDA;SUSTRATOS;CORTEZA DE PINO 1530;DIVINE;2059;1,449;BOLSAS;EUR;4,129.65;60;FOB;SEA;FCL/FCL;LEIXOES;CALLAO;1;40HC;23;11/11/2020;;CH ROBINSON;CMA CGM;;TCNU368288/8;NA;12/11/2020;15/11/2020;15/11/2020;14/11/2020;46;CHSL2201678;CMA CGM NIAGARA;25/12/2020;25/12/2020;1/01/2021;53;SI;223530032;;IMUPESA;AVM;1076;3/12/2020;29/12/2020;118-2020-10-452255-01-1-00;Verde;2/01/2021;3/01/2021;1/01/2021;7/01/2021;8/01/2021;;AVM;13/01/2021;PEND;AGERSA;14/01/2021;15/01/2021;CHAO;20/01/2021;21/01/2021;3;PEND;PEND;28/03/2022;2021-1;;-;;
2021-2022;LIQUIDADA;21-002-HTAL;4700001902;OMAR;PROJAR;SUSTRATOS;TURBA BLEND 1530F;DIVINE;FRCLP-20-00586;20;BOLSAS;EUR;43,340.00;30;CIF;SEA;FCL/FCL;RIGA;CALLAO;1;40HC;20;16/11/2020;NA;DIRECTO;MSC;;CAIU9805630;NA;16/11/2020;19/11/2020;19/11/2020;25/11/2020;48;MEDUNC449802;MSC KANOKO;25/12/2020;25/12/2020;9/01/2021;1;NO;-;;IMUPESA;AVM;1146;23/12/2020;30/12/2020;118-2020-10-454016-01-2-00;Verde;11/01/2021;12/01/2021;26/01/2021;14/01/2021;3/02/2021;;AVM;3/02/2021;PEND;AGERSA;3/02/2021;3/02/2021;CHAO;3/02/2021;4/02/2021;5;015-2563;012-1595;28/03/2022;2021-1;;-;;No cargada por medio de transporte AIRE (23/12) [21-259-HPER // 4700002180]
2021-2022;LIQUIDADA;21-002-HTAL;4700001902;OMAR;PROJAR;SUSTRATOS;TURBA BLEND 1530F;DIVINE;FRCLP-20-00586;20;BOLSAS;EUR;43,340.00;30;CIF;SEA;FCL/FCL;RIGA;CALLAO;1;40HC;20;16/11/2020;NA;DIRECTO;MSC;;CAIU8202519;NA;16/11/2020;19/11/2020;19/11/2020;25/11/2020;48;MEDUNC449802;MSC KANOKO;25/12/2020;25/12/2020;9/01/2021;1;NO;-;;IMUPESA;AVM;1146;23/12/2020;30/12/2020;118-2020-10-454016-01-2-00;Verde;11/01/2021;12/01/2021;26/01/2021;14/01/2021;3/02/2021;;AVM;3/02/2021;PEND;AGERSA;3/02/2021;3/02/2021;CHAO;3/02/2021;4/02/2021;5;057-2033;012-1594;28/03/2022;2021-1;;-;;No cargada por medio de transporte AIRE (23/12) [21-258-HPER]
2021-2022;LIQUIDADA;21-002-HTAL;4700001902;OMAR;PROJAR;SUSTRATOS;TURBA BLEND 1530F;DIVINE;FRCLP-20-00586;20;BOLSAS;EUR;43,340.00;30;CIF;SEA;FCL/FCL;RIGA;CALLAO;1;40HC;20;16/11/2020;NA;DIRECTO;MSC;;CAXU9361836;NA;16/11/2020;19/11/2020;19/11/2020;25/11/2020;48;MEDUNC449802;MSC KANOKO;25/12/2020;25/12/2020;9/01/2021;1;NO;-;;IMUPESA;AVM;1146;23/12/2020;30/12/2020;118-2020-10-454016-01-2-00;Verde;11/01/2021;12/01/2021;26/01/2021;14/01/2021;3/02/2021;;AVM;3/02/2021;PEND;RVC;4/02/2021;4/02/2021;OLMOS;6/02/2021;7/02/2021;5;0003-3510;012-1553;28/03/2022;2021-1;;-;;No cargada por medio de transporte AIRE (23/12) [21-257-HPER]
2021-2022;LIQUIDADA;21-002-HTAL;4700001902;OMAR;PROJAR;SUSTRATOS;TURBA BLEND 1530F;DIVINE;FRCLP-20-00586;20;BOLSAS;EUR;43,340.00;30;CIF;SEA;FCL/FCL;RIGA;CALLAO;1;40HC;20;16/11/2020;NA;DIRECTO;MSC;;TGBU7472302;NA;16/11/2020;19/11/2020;19/11/2020;25/11/2020;48;MEDUNC449802;MSC KANOKO;25/12/2020;25/12/2020;9/01/2021;1;NO;-;;IMUPESA;AVM;1146;23/12/2020;30/12/2020;118-2020-10-454016-01-2-00;Verde;11/01/2021;12/01/2021;26/01/2021;14/01/2021;3/02/2021;;AVM;3/02/2021;PEND;RVC;5/02/2021;5/02/2021;OLMOS;6/02/2021;7/02/2021;5;015-2569;012-1592;28/03/2022;2021-1;;-;;No cargada por medio de transporte AIRE (23/12) [21-257-HPER]
2021-2022;LIQUIDADA;21-002-HTAL;4700001902;OMAR;PROJAR;SUSTRATOS;TURBA BLEND 1530F;DIVINE;FRCLP-20-00586;20;BOLSAS;EUR;43,340.00;30;CIF;SEA;FCL/FCL;RIGA;CALLAO;1;40HC;20;16/11/2020;NA;DIRECTO;MSC;;MEDU9362560;NA;16/11/2020;19/11/2020;19/11/2020;25/11/2020;48;MEDUNC449802;MSC KANOKO;25/12/2020;25/12/2020;9/01/2021;1;NO;-;;IMUPESA;AVM;1146;23/12/2020;30/12/2020;118-2020-10-454016-01-2-00;Verde;11/01/2021;12/01/2021;26/01/2021;14/01/2021;3/02/2021;;AVM;3/02/2021;PEND;AGERSA;4/02/2021;4/02/2021;OLMOS;6/02/2021;7/02/2021;5;PEND;PEND;28/03/2022;2021-1;;-;;Cargada en CP. Falta BL y BARCO. - DOC CARGADA. FALTA BL, CERT. ORIGEN, CERT. FITOSANITARIO EXP, FACTURA, SEGURO Y PROFORMA SLI (23/12) [21-256-HPER // FCIU8703524]
