CAMPAÑA,STATUS,OP,OC,BUYER,SUPPLIER,CATEGORY,PRODUCTO,PROYECT,FACTURA,QTY,UM,CUR,AMOUNT,AMOUNT USD,PAYMENT TERM,INCOTERM,MODE,TYPE,COUNTRY ORIGIN,POL,POD,CTNR QTY,CTNR TYPE,BULKS,CARGO READY,CP OPENNING,QUOTE REQUEST RATE,ASSIGMENT DATE2,FFW,NAVIERA / AEROLINEA,BOOKING,CNTR NR,PICK UP DATE,STACKING,ATD,WEEK ATD,B/L- AWB,NAVE,ATA,WEEK ATA,INSURANCE HPER,INSURANCE POLICY DATE,DEPOT,AG. ADUANA,Orden,FECHA IE,FECHA NUM DAM,DAM,FECHA DESCARGA,FECHA TARJA,FECHA LEVANTE,FECHA VISTO BUENO,FECHA INSPECCION SENASA,FECHA LIBERACION SENASA,FECHA VCTO SOBRESTADIA,TRANSP LIMA (T1),FECHA RETIRO (T1),GR T1 ,TRANSP TRUX (T2),FECHA ENTREGA BASE T2 (T1),FECHA GATE IN (T1),PUNTO DE LLEGADA,FECHA INICIO DE VIAJE  (T2),FECHA FIN DE VIAJE (T2),WEEK TRUX ,FECHA CONFIRMACION RECEPCION,GR T2 ,GR HORTIFRUT,WEEK NECESIDAD,FECHA ENVIO ARCHIV,NRO CAJA ARCHIVO,COURIER PARA ENVÍO DE DOCS,NRO DE TRACKING DOCS ,OBSERVACIONES HORTIFRUT,CARGO PRODUCE OBSERVACIONES
2022-2023,LIQUIDADO,22-001-HPER,4700002273,RENE,HFCH,PLANTAS,DIVINE,-,12118,"25,000",UN,USD,"52,036.99","52,036.99",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,1,-,,,NA,DIRECTO,KOREAN,-, -,-,-,3/1/2022,1,180-48437443,KE0274/03,3/1/2022,1,SI,31/12/2021,SAASA,AVM,26,3/1/2022,6/1/2022,235-2022-10-001340-01-4-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109666,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-001-HPER-1 // 4700002273]
2022-2023,LIQUIDADO,22-001-HPER,4700002273,RENE,HFCH,PLANTAS,ROCIO,-,12118,"37,700",UN,USD,"110,516.78","110,516.78",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,2,-,,,NA,DIRECTO,KOREAN,-, -,-,-,3/1/2022,1,180-48437443,KE0274/03,3/1/2022,1,SI,31/12/2021,SAASA,AVM,26,3/1/2022,6/1/2022,235-2022-10-001340-01-4-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109666,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-001-HPER-2 // 4700002273]
2022-2023,LIQUIDADO,22-001-HPER,4700002273,RENE,HFCH,PLANTAS,SEEDLINGS,-,12118,"4,317",UN,USD,"4,755.09","4,755.09",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,4,-,,,NA,DIRECTO,KOREAN,-,-,-,-,3/1/2022,1,180-48437443,KE0274/03,3/1/2022,1,SI,31/12/2021,SAASA,AVM,26,3/1/2022,6/1/2022,235-2022-10-001340-01-4-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109666,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-001-HPER-3 // 4700002273]
2021-2022,LIQUIDADO,22-002-HPER,4700001929,RENE,OZ,PLANTAS,MAGICA,RV11,INV-OVAU-1505 / INV-OVAU-1606 / INV-OVAU-1607,"93,600",UN,USD,"243,360.00","243,360.00",0,FCA,AIR,AIR,,SANTIAGO,LIMA,-,-,3,-,,,NA,DIRECTO,KOREAN,-,-,-,-,3/1/2022,1,180-48437432,KE0274/03,3/1/2022,1,SI,4/1/2022,SAASA,AVM,66,4/1/2022,5/1/2022,235-2022-10-000897-01-5-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109665,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-002-HPER-1 // 4700001929]
2021-2022,LIQUIDADO,22-002-HPER,4700001929,RENE,OZ,PLANTAS,BONITA,RV11,INV-OVAU-1505 / INV-OVAU-1606 / INV-OVAU-1607,"312,000",UN,USD,"811,200.00","811,200.00",0,FCA,AIR,AIR,,SANTIAGO,LIMA,-,-,10,-,,,NA,DIRECTO,KOREAN,-,-,-,-,3/1/2022,1,180-48437432,KE0274/03,3/1/2022,1,SI,4/1/2022,SAASA,AVM,66,4/1/2022,5/1/2022,235-2022-10-000897-01-5-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109665,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-002-HPER-2 // 4700001929]
2022-2023,LIQUIDADO,22-003-HPER,4700002113,GERMAN,UNITEC,SPAREPARTS,RPTOS VARIOS PARA MAQUINA CALIBRADORA DE ARANDANOS,-,63,2,UN,USD,"2,764.13","2,764.13",0,EXW,AIR,AIR,,SANTIAGO,LIMA,-,-,1,30/12/2021,,,NA,DIRECTO,DHL,-,-,3/1/2021,-,3/1/2022,1,1868096672,DHL COURIER,7/1/2022,1,SI,7/1/2022,DHL,DHL,NA,NA,7/1/2022,235-2022-10-002137-01-8-00,7/1/2022,8/1/2022,7/1/2022,,NA,NA,NA,DHL,10/1/2022,NA,DHL,NA,NA,PACKING SALAVERRY,11/1/2022,12/1/2022,2,,NA,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-003-HPER-1 // 4700002113]
2022-2023,LIQUIDADO,22-004-HPER,PEA2H10101,RENE,INFIA ,E & E,MUESTRAS,-,NA,1,UN,USD,0.00,0.00,0,DAP,AIR,AIR,,BOLOGNA,LIMA,-,-,1,-,,,NA,DIRECTO,DHL,-,-,-,-,4/1/2022,1,3010937576,-,10/1/2022,2,NO,NA,DHL,DHL,NA,NA,NA,NA,10/1/2022,10/1/2022,NA,,NA,NA,NA,NA,9/1/2022,NA,DHL,NA,NA,PACKING SALAVERRY,9/1/2022,10/1/2022,2,,NA,NA,-,,-,NA,NA,-,No cargada por medio de transporte AIRE [21-004-HPER-1 // PEA2H10101]
2021-2022,LIQUIPARCIAL,22-005-HPER,4700002323,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194A,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,FFAU1769097,-,-,10/1/2022,2,MEDUC0772474,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,405,23/3/2022,31/3/2022,118-2022-10-117549-01-7-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,12/4/2022,001-0111491,TRANSPESA,12/4/2022,12/4/2022,FUNDO ARMONIA,26/5/2022,27/5/2022,21,,0008-000490,036-0000008,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-005-HPER // 4700002323-1 // FFAU1769097]
2021-2022,LIQUIPARCIAL,22-005-HPER,4700002323,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194A,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,TCNU1358020,-,-,10/1/2022,2,MEDUC0772474,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,405,23/3/2022,31/3/2022,118-2022-10-117549-01-7-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,12/4/2022,001-0111489,TRANSPESA,12/4/2022,12/4/2022,FUNDO ARMONIA,22/5/2022,23/5/2022,21,,0007-000485,036-0000006,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-005-HPER // 4700002323-2 // TCNU1358020]
2021-2022,LIQUIPARCIAL,22-005-HPER,4700002323,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194A,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,CAIU7462722,-,-,10/1/2022,2,MEDUC0772474,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,405,23/3/2022,31/3/2022,118-2022-10-117549-01-7-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,12/4/2022,001-0111490,TRANSPESA,12/4/2022,12/4/2022,FUNDO ARMONIA,23/5/2022,24/5/2022,21,,0013-002822,036-0000007,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-005-HPER // 4700002323-3 // CAIU7462722]
