CAMPAÑA,STATUS,OP,OC,BUYER,SUPPLIER,CATEGORIA,PRODUCTO,PROYECT,FACTURA,QTY,UM,CUR,AMOUNT,AMOUNT USD ,PAYMENT TERM,INCOTERM,MODE,TYPE,COUNTRY ORIGIN,POL,POD,CTNR QTY,CTNR TYPE,BULKS,CARGO READY,CP OPENNING,QUOTE REQUEST DATE,ASSIGMENT DATE,FFW,NAVIERA / AEROLINEA,BOOKING,CNTR NR,PICK UP DATE,ATD,WEEK ATD,B/L- AWB,NAVE,ATA,WEEK ATA,INSURANCE HPER,INSURANCE POLICY DATE,DEPOT,AG. ADUANA,Orden,FECHA IE,FECHA NUM DAM,DAM,FECHA DESCARGA,FECHA TARJA,FECHA LEVANTE,FECHA INSPECCION SENASA,FECHA LIBERACION SENASA,FECHA VCTO SOBRESTADIA,TRANSP LIMA (T1),FECHA RETIRO (T1),GR T1 ,TRANSP TRUX (T2),FECHA ENTREGA BASE T2 (T1),WEEK BASE LIMA,PUNTO DE LLEGADA,FECHA INICIO DE VIAJE  (T2),FECHA FIN DE VIAJE (T2),WEEK TRUX,FECHA CONFIRMACION RECEPCION,GR T2 ,GR HORTIFRUT,WEEK NECESIDAD,CP OBSERVACIONES,OC2,,
2022-2023,LIQUIDADO,22-264-HPER,4700002687-2,TATIANA,JCK,E & E,PUNNET PET 11OZ 5X7,-,795,"498,240.00",UN,USD,"81,412.42","81,412.42",90,FOB,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,1,40 HC,692,12/12/2022,30/12/2022,,25/11/2022,AIRSEALOG,HAPAG,62532812,HLXU8377501,,2/1/2023,1,ASLCLS00023565 ,GSL MELINA 250W,6/1/2023,1,SI,30/12/2022,IMUPESA,PASOC,65169,30/12/2022,5/1/2023,118-2023-10-004301-01-9-00,7/1/2023,8/1/2023,6/1/2023,NA,NA,10/1/2023,PASOC,11/1/2023,001-0391651,AGERSA,12/1/2023,2,PACKING CHAO,22/1/2023,23/1/2023,4,,0057-002345 , EG07-00000030,,OK,4700002687-2,,
2022-2023,LIQUIDADO,22-264-HPER,4700002687-2,TATIANA,JCK,E & E,PUNNET PET 11OZ 5X7,-,795,"498,240.00",UN,USD,"81,412.42","81,412.42",90,FOB,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,1,40 HC,692,12/12/2022,30/12/2022,,25/11/2022,AIRSEALOG,HAPAG,62532812,TCNU6261650,,2/1/2023,1,ASLCLS00023565 ,GSL MELINA 250W,6/1/2023,1,SI,30/12/2022,IMUPESA,PASOC,65169,30/12/2022,5/1/2023,118-2023-10-004301-01-9-00,7/1/2023,8/1/2023,6/1/2023,NA,NA,10/1/2023,PASOC,11/1/2023,001-0391652,AGERSA,12/1/2023,2,PACKING CHAO,22/1/2023,23/1/2023,4,,0032-002467, EG07-00000031,,OK,4700002687-2,,
2022-2023,LIQUIDADO,22-265-HPER,4700002660,GONZALO,AZUD,EQP & INST,"""FILTRO ANILLO 2 Y 3 """"HELIX AUTO DLP AZUD""",-,FVM22-001523,4.00,UN,USD,"1,770.64","1,770.64",90,FCA,SEA,LCL/LCL,ESPAÑA,BARCELONA,CALLAO,NA,NA,1,22/11/2022,17/11/2022,,25/11/2022,AIRSEALOG,CMA CGM,80E2022110674,SEKU5840738,30/11/2022,19/12/2022,51,802022110599,CMA CGM PUERTO ANTIOQUIA,15/1/2023,2,SI,19/12/2022,VILLAS OQUENDO,LIP,299,4/1/2023,13/1/2023,118-2023-10-016308-01-3-00,15/1/2023,16/1/2023,15/1/2023,NA,NA,NA,LIP,18/1/2023,0001-020040,AGERSA,18/1/2023,3,FUNDO ARMONIA,25/1/2023,26/1/2023,4,7/2/2023,0032-002469,EG07-00000033,,OK,4700002660,,
2022-2023,LIQUIDADO,22-266-HPER,4700002659,TATIANA,QUALIBIO,E & E,PUNNET CELULOSA EC 2843 Base,-,A-0869,"166,320.00",UN,USD,"21,787.92","21,787.92",0,EXW,SEA,FCL/FCL,PAISES BAJOS,ROTTERDAM,CALLAO,1,20 ST,11,9/12/2022,28/11/2022,,,FORBIS,OOCL,2711823710,OOLU0410255,6/1/2022,12/1/2023,2,FB001/SEXP/23/01/43,GUAYAQUIL EXPRESS,10/2/2023,6,SI,12/1/2023,IMUPESA,PASOC,68402,31/1/2023,8/2/2023,118-2023-10-050907-01-3-00,11/2/2023,12/2/2023,10/2/2023,NA,NA,25/2/2023,PASOC,15/2/2023,T001-1178,AGERSA,15/2/2023,7,PACKING CHAO,19/2/2023,20/2/2023,8,21/2/2023,EG03-00000006,EG07-00000038,,OK,4700002659,,
2022-2023,LIQUIDADO,22-269-HPER,4700002717,MELANIE,SMARTPACK,SPAREPARTS,RPTOS VARIOS PARA MAQUINA HEAT SEALER,-,123,1.00,UN,USD,"5,343.00","5,343.00",0,EXW,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,1,14/12/2022,NA,,,AIRSEALOG,DHL,-,-,,23/11/2022,47,6635388406,DHL COURIER,2/1/2023,1,NO,NA,DHL,LIP,19633,22/12/2022,23/12/2022," 235-2022-10-192143-01-0-00	",3/1/2023,3/1/2023,,NA,NA,NA,LIP,4/1/2023, 0001-019998,AGERSA,4/1/2023,1,PACKING CHAO,9/1/2023,10/1/2023,2,, 0051-002527,EG07-00000026,,NA,4700002717,,
2022-2023,LIQUIDADO,22-272-HPER,01-2122CPRD07-07-01-0001,GONZALO,WEBEE,EQP & INST,PIEZA DE HARDWARE,SAMPLE,10853,40.00,UN,USD,"4,523.32","4,523.32",0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,1,,NA,,-,DHL,DHL,-,-,17/1/2023,22/1/2023,3,9301503061,DHL COURIER,23/1/2023,4,SI,19/1/2023,DHL,LIP,1315,19/1/2023,2/2/2023," 235-2023-10-014638-01-2-00	",23/1/2023,24/1/2023,2/2/2023,NA,NA,NA,LIP,4/2/2023,0001-020101,AGERSA,4/2/2023,5,FUNDO ARMONIA,2/2/2023,3/2/2023,5,,EG03-00000004, EG07-00000037,,NA,01-2122CPRD07-07-01-0001,,
2022-2023,LIQUIDADO,22-272-HPER,01-2122CPRD07-07-01-0001,GONZALO,WEBEE,EQP & INST,PIEZA DE HARDWARE,SAMPLE,10853,1.00,UN,USD,"4,523.32","4,523.32",0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,1,,NA,,-,DHL,DHL,-,-,17/1/2023,22/1/2023,3,9301503061,DHL COURIER,23/1/2023,4,SI,19/1/2023,DHL,LIP,1360,19/1/2023,17/2/2023,235-2023-10-022323-01-7-00,24/1/2023,25/1/2023,17/2/2023,NA,NA,NA,LIP,18/2/2023,0001-020171,AGERSA,18/2/2023,7,FUNDO ARMONIA,19/2/2023,20/2/2023,8,20/2/2023,EG03-00000007,EG07-00000039,,NA,01-2122CPRD07-07-01-0001,,
2022-2023,LIQUIDADO,22-273-HPER,01-2122CPRD07-07-01-0001,GONZALO,WEBEE,EQP & INST,PIEZA DE HARDWARE,SAMPLE,10848,10.00,UN,USD,"1,994.00","1,994.00",0,EXW,AIR,AIR,CHINA,HONG KONG,LIMA,-,-,1,,NA,,-,DHL,DHL,-,-,18/1/2023,21/1/2023,3,7433080992,DHL COURIER,24/1/2023,4,NO,NA,DHL,DHL,NA,NA,24/1/2023,235-2023-28-00090320-10-7-00,24/1/2023,24/1/2023,24/1/2023,NA,NA,NA,,31/1/2023,,,1/2/2023,5,FUNDO ARMONIA,31/1/2023,1/2/2023,5,,,,,NA,01-2122CPRD07-07-01-0001,,
2022-2023,LIQUIDADO,22-274-HPER,01-2122CPRD07-07-01-0001,GONZALO,WEBEE,EQP & INST,PIEZA DE HARDWARE,SAMPLE,10847,1.00,UN,USD,"1,960.00","1,960.00",0,EXW,AIR,AIR,,VIRACOPOS,LIMA,-,-,1,,NA,,-,DHL,DHL,-,-,,31/3/2023,13,4387256716,DHL COURIER,3/4/2023,14,NO,NA,DHL,LIP,5102,3/4/2023,12/4/2023,235-2023-10-050056-01-1-00,3/4/2023,3/4/2023,12/4/2023,NA,NA,NA,NA,17/4/2023,NA,DHL,NA,#¡VALOR!,FUNDO ARMONIA,17/5/2023,18/5/2023,20,,FUNDO ARMONIA,,,NA,01-2122CPRD07-07-01-0001,,
2022-2023,LIQUIDADO,22-275-HPER,4700002686-2,TATIANA,JCK,E & E,PUNNET PET 18OZ 7X7 CESTA,-,792,"345,408.00",UN,USD,"29,137.83","29,137.83",90,FOB,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,1,40 HC,658,20/12/2022,19/12/2022,,20/12/2022,AIRSEALOG,HAPAG,64203481,FANU1463217,,30/12/2022,52,ASLCLS00024386,VALPARAISO EXPRESS 2247N,2/1/2023,1,SI,29/12/2022,IMUPESA,PASOC,64649,29/12/2022,30/12/2022,118-2022-10-511663-01-5-00,3/1/2023,4/1/2023,2/1/2023,NA,NA,15/1/2023,PASOC,9/1/2023, 001-0391630,AGERSA,9/1/2023,2,PACKING CHAO,10/1/2023,11/1/2023,2,,0023-002428,036-0000723,,OK,4700002686-2,,
