op_id_full,anio,mode,categoria_canon,amount_usd,real_usd,pred_usd,error_usd,error_pct
25108HPER,2025,AIR,REPUESTOS,2392.69,104.7,308.4,203.7,194.5
25004HPER,2025,SEA,SUSTRATOS,31598.4,2833.6,7959.1,5125.5,180.9
25085HPER,2025,AIR,MAQUINARIA,82600.0,436.8,1225.8,789.0,180.6
25084HPER,2025,SEA,EMPAQUE,32370.8,2012.1,5599.8,3587.7,178.3
25132HPER,2025,SEA,SUSTRATOS,82214.15000000001,12264.9,28034.7,15769.8,128.6
25133HPER,2025,SEA,SUSTRATOS,82214.15000000001,12264.9,28034.7,15769.8,128.6
25131HPER,2025,SEA,SUSTRATOS,82214.15000000001,12344.9,28034.7,15689.8,127.1
25128HPER,2025,SEA,SUSTRATOS,82214.15000000001,12630.8,28034.7,15404.0,122.0
25130HPER,2025,SEA,SUSTRATOS,82214.15000000001,12933.7,28034.7,15101.1,116.8
25125HPER,2025,SEA,SUSTRATOS,82214.15000000001,12388.2,26631.5,14243.3,115.0
25127HPER,2025,SEA,SUSTRATOS,82214.15000000001,12638.2,26631.5,13993.3,110.7
25103HPER,2025,AIR,REPUESTOS,10629.900000000001,1011.9,2101.2,1089.2,107.6
25147HPER,2025,SEA,SUSTRATOS,18653.65,2496.5,5181.6,2685.1,107.6
25032HPER,2025,SEA,MAQUINARIA,56390.64,4121.8,7983.3,3861.4,93.7
25122HPER,2025,SEA,SUSTRATOS,82214.15000000001,12388.2,23417.3,11029.1,89.0
25178HPER,2025,SEA,AGROQUIMICOS,415737.6,6760.0,12712.7,5952.7,88.1
25123HPER,2025,SEA,SUSTRATOS,82214.15000000001,12738.2,23417.3,10679.1,83.8
25091HPER,2025,SEA,EMPAQUE,22680.0,12557.4,2470.0,-10087.4,80.3
25093HPER,2025,SEA,EMPAQUE,22680.0,11473.7,2518.5,-8955.1,78.0
25121HPER,2025,SEA,SUSTRATOS,74614.6,9953.9,17521.6,7567.7,76.0
25120HPER,2025,SEA,SUSTRATOS,93268.25,12349.3,21494.8,9145.5,74.1
25145HPER,2025,SEA,EMPAQUE,16182.0,4118.6,7150.8,3032.3,73.6
25059HPER,2025,SEA,EMPAQUE,16182.0,4129.0,7150.8,3021.9,73.2
