op_id_full,anio,mode,categoria_canon,amount_usd,real_usd,pred_usd,error_usd,error_pct
24211HPER,2024,LAND,EMPAQUE,26504.01,278.1,2295.3,2017.2,725.3
21164HPER,2021,AIR,EMPAQUE,10993.09,924.2,3122.8,2198.6,237.9
20076HTAL,2020,AIR,REPUESTOS,9404.45,317.9,911.8,593.9,186.8
21127HPER,2021,AIR,EMPAQUE,3369.6000000000004,693.5,1529.0,835.5,120.5
24184HPER,2024,SEA,EMPAQUE,104290.0,2672.7,5291.6,2618.9,98.0
24238HPER,2024,AIR,EMPAQUE,0.2,210.6,11.1,-199.6,94.7
20062HTAL,2020,AIR,EQUIPOS_INSTR,699.46,72.0,139.4,67.4,93.5
21061HPER,2021,SEA,EMPAQUE,77665.83,3138.4,6063.0,2924.6,93.2
22028HPER,2022,AIR,EQUIPOS_INSTR,2300.0,538.3,1036.1,497.8,92.5
23045HPER,2023,AIR,SUSTRATOS,11.0,191.2,14.9,-176.3,92.2
21034HPER,2021,AIR,MUESTRAS,1.0,326.2,36.1,-290.1,88.9
21239HPER,2021,AIR,PLANTAS,131834.6,996.7,1867.5,870.8,87.4
21083HPER,2021,AIR,MUESTRAS,1.0,245.5,33.3,-212.2,86.4
24114HPER,2024,AIR,EMPAQUE,81021.6,241365.3,38027.6,-203337.7,84.2
21167HPER,2021,AIR,REPUESTOS,18277.82,1170.3,218.8,-951.5,81.3
25103HPER,2025,AIR,REPUESTOS,10629.900000000001,1011.9,1814.3,802.4,79.3
24240HPER,2024,AIR,EMPAQUE,20.0,192.4,41.9,-150.5,78.2
21030HPER,2021,SEA,EMPAQUE,7411.5,1753.8,3100.0,1346.2,76.8
21036HPER,2021,AIR,AGROQUIMICOS,10782.720000000001,37578.1,8810.9,-28767.2,76.6
20103HPER,2020,SEA,SUSTRATOS,27820.8,1194.0,2104.2,910.2,76.2
24127HPER,2024,AIR,EMPAQUE,24907.52,3148.2,5485.0,2336.8,74.2
24183HPER,2024,SEA,EMPAQUE,5460.0,1422.7,2454.5,1031.8,72.5
24066HPER,2024,SEA,AGROQUIMICOS,19810.56,2510.8,4317.3,1806.5,71.9
24061HPER,2024,AIR,AGROQUIMICOS,56601.6,41255.7,12205.5,-29050.2,70.4
22091HPER,2022,SEA,EMPAQUE,154203.0,1778.5,3012.1,1233.6,69.4
23040HPER,2023,AIR,REPUESTOS,740.0,95.2,160.9,65.7,69.0
23132HPER,2023,AIR,EQUIPOS_INSTR,1760.0,209.7,66.9,-142.8,68.1
21049HPER,2021,SEA,AGROQUIMICOS,4320.0,2660.2,4465.5,1805.3,67.9
24113HPER,2024,AIR,REPUESTOS,1673.28,124.2,206.9,82.7,66.5
25084HPER,2025,SEA,EMPAQUE,32370.8,2012.1,3329.5,1317.4,65.5
25004HPER,2025,SEA,SUSTRATOS,31598.4,2833.6,4684.8,1851.2,65.3
21184HPER,2021,SEA,SUSTRATOS,33922.0224,4078.6,6724.2,2645.6,64.9
25181HPER,2025,SEA,AGROQUIMICOS,72924.0,2126.7,3479.2,1352.5,63.6
21004HTAL,2021,SEA,SUSTRATOS,514879.20000000007,129166.7,47479.5,-81687.2,63.2
24151HPER,2024,SEA,SUSTRATOS,35706.0,4693.3,7616.3,2923.0,62.3
21042HTAL,2021,SEA,MAQUINARIA,272520.0,17630.6,6941.5,-10689.1,60.6
21089HPER,2021,SEA,EMPAQUE,159800.0,1670.5,2669.7,999.2,59.8
23113HPER,2023,AIR,SUSTRATOS,16.0,539.7,217.1,-322.6,59.8
23053HPER,2023,AIR,EQUIPOS_INSTR,1395.47,128.8,52.2,-76.6,59.5
21039HPER,2021,AIR,MUESTRAS,1.0,375.0,152.8,-222.2,59.3
21183HPER,2021,SEA,SUSTRATOS,33922.0224,18406.4,7705.0,-10701.4,58.1
20052HPER,2020,AIR,REPUESTOS,12043.85,773.2,1215.9,442.7,57.3
23157HPER,2023,SEA,EQUIPOS_INSTR,97445.92,4835.6,7587.8,2752.2,56.9
24067HPER,2024,AIR,AGROQUIMICOS,30514.0,29359.7,12670.6,-16689.1,56.8
25108HPER,2025,AIR,REPUESTOS,2392.69,104.7,163.7,59.0,56.3
21185HPER,2021,SEA,SUSTRATOS,31409.28,3997.3,6173.9,2176.6,54.5
21174HPER,2021,SEA,AGROQUIMICOS,99792.0,1819.1,2787.0,967.9,53.2
21169HPER,2021,AIR,EMPAQUE,5412.42,29420.3,13770.8,-15649.5,53.2
24041HPER,2024,SEA,MAQUINARIA,247361.46,21752.2,10198.3,-11553.9,53.1
21107HPER,2021,AIR,REPUESTOS,3300.0,761.8,1163.5,401.7,52.7
23054HPER,2023,AIR,REPUESTOS,1388.0,123.7,188.3,64.6,52.3
22045HPER,2022,SEA,AGROQUIMICOS,63360.0,38289.2,18676.9,-19612.3,51.2
20118HPER,2020,SEA,EMPAQUE,29613.22,1787.9,2697.7,909.8,50.9
24077HPER,2024,AIR,REPUESTOS,10630.0,530.6,261.4,-269.2,50.7
21022HPER,2021,AIR,EQUIPOS_INSTR,20060.0,5016.6,2478.8,-2537.8,50.6
24044HPER,2024,AIR,PLANTAS,12.0,823.8,1239.1,415.3,50.4
20132HPER,2020,AIR,PLANTAS,91348.54,1414.7,2127.5,712.8,50.4
21054HPER,2021,AIR,PLANTAS,37120.0,938.2,1404.5,466.2,49.7
25178HPER,2025,SEA,AGROQUIMICOS,415737.6,6760.0,10104.6,3344.6,49.5
21037HPER,2021,SEA,MAQUINARIA,419100.0,18990.6,9587.0,-9403.6,49.5
23136HPER,2023,SEA,AGROQUIMICOS,34597.2,833.0,1245.2,412.2,49.5
23159HPER,2023,AIR,PLANTAS,304200.0,3480.3,5195.3,1715.0,49.3
24027HPER,2024,SEA,AGROQUIMICOS,75900.0,2071.0,3089.6,1018.6,49.2
20107HPER,2020,AIR,EMPAQUE,0.0,54.0,27.8,-26.2,48.5
24121HPER,2024,LAND,EMPAQUE,48746.88,27370.1,14196.0,-13174.1,48.1
24170HPER,2024,SEA,EMPAQUE,30486.61,2442.2,3613.9,1171.7,48.0
22066HPER,2022,AIR,REPUESTOS,2249.5,627.7,327.2,-300.5,47.9
21181HPER,2021,SEA,SUSTRATOS,9363.5784,2113.4,3117.6,1004.2,47.5
21180HPER,2021,AIR,REPUESTOS,3852.0,296.0,436.5,140.5,47.4
24109HPER,2024,AIR,REPUESTOS,36557.87,1444.1,2122.1,678.0,47.0
20124HTAL,2020,SEA,AGROQUIMICOS,23885.4,1047.3,1538.5,491.2,46.9
20083HPER,2020,AIR,REPUESTOS,0.0,66.3,35.3,-31.0,46.7
22276HPER,2022,AIR,REPUESTOS,30002.04,982.6,1441.6,459.0,46.7
21074HPER,2021,SEA,EMPAQUE,73431.5868,16107.4,8644.1,-7463.3,46.3
24159HPER,2024,SEA,EMPAQUE,93994.0,9940.0,14543.2,4603.2,46.3
24181HPER,2024,SEA,EMPAQUE,197676.0,7927.8,11563.5,3635.7,45.9
21199HPER,2021,SEA,SUSTRATOS,62842.0,4133.5,6017.9,1884.4,45.6
21212HPER,2021,SEA,SUSTRATOS,88266.0,6316.2,9192.1,2875.9,45.5
22152HPER,2022,SEA,EMPAQUE,10135.13,2210.3,3209.9,999.6,45.2
20036HPER,2020,SEA,AGROQUIMICOS,28303.02,3224.9,1774.0,-1450.9,45.0
21081HPER,2021,AIR,EQUIPOS_INSTR,13384.83,119.2,172.7,53.5,44.9
21163HPER,2021,SEA,SUSTRATOS,42904.0,4560.6,6580.7,2020.1,44.3
21254HPER,2021,SEA,SUSTRATOS,33922.0224,3973.0,5722.5,1749.5,44.0
24164HPER,2024,SEA,EMPAQUE,52145.0,3185.7,4574.1,1388.4,43.6
25119HPER,2025,SEA,EMPAQUE,33722.84,2438.7,3489.7,1051.0,43.1
25147HPER,2025,SEA,SUSTRATOS,18653.65,2496.5,3570.8,1074.3,43.0
23035HPER,2023,AIR,SUSTRATOS,1.6,71.1,40.9,-30.2,42.5
21023HPER,2021,SEA,EMPAQUE,316680.0,3092.4,4393.4,1301.0,42.1
21187HPER,2021,SEA,SUSTRATOS,50883.0336,6169.6,8762.4,2592.8,42.0
21001HTAL,2021,SEA,SUSTRATOS,22300.11,13724.9,19480.3,5755.4,41.9
23095HPER,2023,AIR,EQUIPOS_INSTR,3499.98,835.8,1184.2,348.4,41.7
24213HPER,2024,AIR,PLANTAS,177440.25,3894.8,5513.8,1619.0,41.6
