feature,gain
numlog__amount_usd,6739
numlog__qty,4952
te__shipping_line,4515
num__transit_days,4104
te__supplier,4035
numlog__bulks,3909
te__punto_llegada,3896
te__pol,3799
te__ffw,3349
te__buyer,3329
te__depot,3203
te__pais_origen,2393
num__mes_cos,2255
num__mes_sin,2199
num__anio,1331
num__payment_term,1108
oh__incoterm_grupo_VENDEDOR_DESTINO,385
num__tiene_seguro,332
oh__incoterm_DAP,275
num__ctnr_qty,234
oh__incoterm_EXW,233
oh__customs_agent_DHL,227
oh__incoterm_grupo_VENDEDOR_FLETE,212
oh__customs_agent_infrequent_sklearn,180
num__requiere_senasa,159
