model,val_year,n_train,n,MAE,RMSE,WAPE,MdAPE,bias
baseline,2021,127,261,8108.19898467433,16337.353578784423,0.737628768680069,0.6379005402716557,-6854.491245210727
lgbm,2021,127,261,8944.122913124125,17576.725493622314,0.8136754393671224,0.6274276687829411,-8882.699788919072
xgb,2021,127,261,9180.209427316016,17774.628745865968,0.8351529838988355,0.6827481841815146,-9116.757261879875
rf,2021,127,261,9129.02554728267,17698.248257193092,0.8304966227911929,0.6484477131916632,-9049.67234523832
ens_direct,2021,127,261,9053.899032161833,17673.237691395003,0.82366212366894,0.6397457879091227,-8999.728525399472
baseline,2022,388,128,4606.2398828125,7898.045506080312,0.6610828199334489,0.5103153400925315,-2655.8988671874995
lgbm,2022,388,128,2514.203843278682,4221.766168077883,0.36083595489762793,0.30178167739133127,-42.9624541699074
xgb,2022,388,128,2267.102860787212,3840.0629373929924,0.32537227552580045,0.29812980370988496,-567.0411259654165
rf,2022,388,128,2839.0132689323473,4695.714253117385,0.40745227026871983,0.41031887811408907,-344.2360892305033
ens_direct,2022,388,128,2324.8544242168527,3916.564677039139,0.33366072063047025,0.32795444452872424,-305.001790067662
baseline,2023,516,147,2704.693639455782,4507.49175950592,0.6282452328043115,0.5309410536415149,-1009.2380612244901
lgbm,2023,516,147,2163.888051958935,4102.475585137514,0.5026271120447298,0.3421059924191818,-35.85604571649711
xgb,2023,516,147,2064.0028050221554,3988.011942798393,0.47942580402962315,0.34292483170682986,-281.4036823983743
rf,2023,516,147,2362.889737347406,4142.020949349809,0.5488511495259161,0.3798066083219085,618.6602326265139
ens_direct,2023,516,147,2086.920175608443,4021.30267172424,0.4847490423473433,0.37429723271490156,-158.62986405743567
baseline,2024,663,218,5534.075871559633,17730.296486550928,0.6257281762725859,0.4623817730884024,-3596.74509174312
lgbm,2024,663,218,4948.320204891325,17879.41342983436,0.5594978184762086,0.2819284362710953,-3978.4794657273806
xgb,2024,663,218,5166.181870622022,17930.042863385155,0.5841310519087235,0.3228718130850973,-4353.364742335224
rf,2024,663,218,4988.167901037804,17904.48114485456,0.5640033270411594,0.33186390552412587,-3439.0847610275737
ens_direct,2024,663,218,5021.3181390100535,17891.655483970022,0.567751565849373,0.27364479521036006,-4165.922104031302
baseline,2025,881,176,3620.4100568181825,5085.286171681258,0.5013973199086881,0.44689352970479423,-2643.3690909090915
lgbm,2025,881,176,2652.7279998282947,4644.492991606585,0.36738123270201656,0.3029307768370919,1351.6951744336752
xgb,2025,881,176,2543.0340862965586,4502.097697000488,0.3521895186718536,0.24971454577956215,665.697902932384
rf,2025,881,176,3010.195292975925,5519.328394018731,0.4168875427404864,0.30792945777914144,1388.1248658943355
ens_direct,2025,881,176,2509.6651044238274,4475.603508005523,0.34756818633201,0.24917290730692726,1008.6965386830295
baseline,2026,1057,1,1556.505,1556.505,46.14601245182331,,1556.505
lgbm,2026,1057,1,22.506391672092036,22.506391672092036,0.6672514578147655,,-22.506391672092036
xgb,2026,1057,1,25.845359306335446,25.845359306335446,0.7662424935172086,,-25.845359306335446
rf,2026,1057,1,21.011357146363764,21.011357146363764,0.6229278727057149,,-21.011357146363764
ens_direct,2026,1057,1,24.17587548921374,24.17587548921374,0.7167469756659871,,-24.17587548921374
