mode,categoria_canon,n,MAE,RMSE,WAPE,MdAPE,bias
SEA,SUSTRATOS,255,9510.577160564128,18186.667380089824,0.6782134143011578,0.5007991181459396,-7803.445650214853
SEA,EMPAQUE,159,4355.7709294594015,6776.753073162705,0.41744196476410594,0.40142855603920746,-1556.511400394512
AIR,REPUESTOS,120,341.92984352293644,584.7303231305865,0.3171005776197783,0.2550768219184578,-15.94015906090627
SEA,AGROQUIMICOS,109,2808.0881958675727,4595.631969513812,0.4848183475621499,0.3735067027880927,41.6804875907643
AIR,PLANTAS,93,2085.7074188969423,3731.0337343016527,0.41139704509536656,0.3138613623680939,-1703.7479556191877
AIR,EMPAQUE,57,8137.146270752469,31870.770542357317,0.8051533328090092,0.7845336942212218,-7838.19796491008
AIR,EQUIPOS_INSTR,57,514.7210348200056,1014.874995809704,0.5134032098440007,0.4448697832197203,-50.734609666071876
SEA,MAQUINARIA,26,4187.54713435488,6693.705149390473,0.5631513855086777,0.4049657824770855,-3751.2103086001134
AIR,MUESTRAS,15,144.1084922525132,172.2855724367984,0.8139392805779505,0.32892609999411526,16.862773819578415
LAND,EMPAQUE,11,7958.155198313017,9775.907958432857,0.7735865114254903,0.6679005643714695,-7447.47813359886
AIR,SUSTRATOS,9,125.27491232680705,186.59702536869443,0.426995929127001,0.6773361520478476,-125.27491232680705
SEA,EQUIPOS_INSTR,5,8170.346456583902,10831.482921515022,0.8530103574853343,0.8662881782399849,-3258.944327112478
SEA,REPUESTOS,5,1825.9251193324806,2220.4493254901104,0.5530200553201684,0.5321509191957949,-1383.8525330019033
AIR,MAQUINARIA,4,287.307584059081,426.8280691173916,0.3689935258424545,0.2796263996942727,124.90616364464131
AIR,AGROQUIMICOS,3,31646.19861325376,32104.6809096651,0.8774889049689795,0.8278723017699559,-31646.19861325376
LAND,SUSTRATOS,1,1953.8154909770365,1953.8154909770365,0.6703499910715759,0.6703499910715759,-1953.8154909770365
