op_id_full,anio,mode,categoria_canon,status,servicios_pred_usd,p10_usd,p90_usd
22005HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,8003.0,5396.5,9863.0
22025HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,8189.1,5575.5,10179.1
22044HPER,2022,SEA,AGROQUIMICOS,LIQUIPARCIAL,4439.5,3328.9,7084.8
22047HPER,2022,AIR,EQUIPOS_INSTR,LIQUIPARCIAL,77.6,8.1,586.2
22049HPER,2022,SEA,AGROQUIMICOS,LIQUIPARCIAL,11062.6,5419.7,12825.2
22053HPER,2022,AIR,REPUESTOS,LIQUIPARCIAL,3084.4,1546.3,4800.1
22054HPER,2022,AIR,REPUESTOS,LIQUIPARCIAL,3914.9,1571.6,3815.0
22055HPER,2022,AIR,REPUESTOS,LIQUIPARCIAL,1570.8,1119.2,3061.2
22060HPER,2022,SEA,REPUESTOS,LIQUIPARCIAL,13411.9,6356.9,20804.4
22061HPER,2022,SEA,AGROQUIMICOS,LIQUIPARCIAL,13482.8,5716.4,16548.9
22062HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,34186.2,7280.2,44661.5
22063HPER,2022,AIR,PLANTAS,LIQUIPARCIAL,5273.2,3389.5,6589.6
22067HPER,2022,AIR,REPUESTOS,LIQUIPARCIAL,1366.7,784.5,1348.5
22068HPER,2022,SEA,AGROQUIMICOS,LIQUIPARCIAL,1777.0,1181.8,3972.3
22069HPER,2022,AIR,REPUESTOS,LIQUIPARCIAL,1466.5,1010.6,1696.5
22077HPER,2022,AIR,REPUESTOS,LIQUIPARCIAL,989.9,100.9,1924.9
22078HPER,2022,AIR,REPUESTOS,LIQUIPARCIAL,1304.4,831.0,1300.2
22079HPER,2022,AIR,EQUIPOS_INSTR,LIQUIPARCIAL,274.5,153.1,862.0
22080HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,12858.9,8019.2,12995.1
22081HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,12853.7,8019.2,12996.6
22082HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,12442.2,7988.7,12975.6
22083HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,12442.2,7988.7,12975.6
22084HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,12858.9,8019.2,12995.1
22085HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9456.3,6105.3,11909.8
22086HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9456.3,6105.3,11909.8
22087HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9456.3,6105.3,11909.8
22088HPER,2022,AIR,REPUESTOS,LIQUIPARCIAL,131.4,36.5,303.6
22094HPER,2022,AIR,PLANTAS,LIQUIPARCIAL,5558.6,3390.9,7082.1
22095HPER,2022,SEA,AGROQUIMICOS,LIQUIPARCIAL,6360.3,4236.4,8452.1
22096HPER,2022,AIR,PLANTAS,LIQUIPARCIAL,7251.9,4630.1,8136.2
22099HPER,2022,AIR,PLANTAS,LIQUIPARCIAL,2462.8,1969.7,4712.4
22104HPER,2022,AIR,EQUIPOS_INSTR,LIQUIPARCIAL,788.5,486.6,1541.9
22114HPER,2022,AIR,EQUIPOS_INSTR,LIQUIPARCIAL,188.2,78.8,1077.3
22116HPER,2022,AIR,PLANTAS,LIQUIPARCIAL,4754.7,3339.5,6569.9
22117HPER,2022,SEA,AGROQUIMICOS,LIQUIPARCIAL,12725.4,6396.0,15739.7
22118HPER,2022,SEA,AGROQUIMICOS,LIQUIPARCIAL,6384.4,3997.3,8619.2
22119HPER,2022,SEA,AGROQUIMICOS,LIQUIPARCIAL,6895.0,3826.5,15142.0
22120HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9363.3,6444.1,10112.8
22121HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9363.3,6444.1,10112.8
22122HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9363.3,6444.1,10112.8
22123HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,8889.9,5993.6,11364.8
22124HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9977.1,6678.3,10353.5
22125HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9977.1,6678.3,10353.5
22126HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,10333.4,7025.7,10424.8
22127HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,10333.4,7025.7,10424.8
22128HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,10333.4,7025.7,10424.8
22129HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,8882.8,6002.6,10686.1
22130HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,8882.8,6002.6,10686.1
22131HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,8882.8,6002.6,10686.1
22132HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,10333.4,7025.7,10424.8
22133HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,10333.4,7025.7,10424.8
22134HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,10333.4,7025.7,10424.8
22135HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9539.1,6401.3,10428.4
22136HPER,2022,SEA,SUSTRATOS,LIQUIPARCIAL,9539.1,6401.3,10428.4
